year,financial_year,country,vehicle_type,fuel_type,ev_registrations,total_car_registrations,yoy_growth_pct,ev_penetration_pct
2011,FY2011,IND,Cars,EV,411.0,2331579.0,,0.01762753910547316
2012,FY2012,IND,Cars,EV,698.0,2543941.0,69.82968369829683,0.027437743249548632
2013,FY2013,IND,Cars,EV,229.0,2586828.0,-67.1919770773639,0.008852540640506442
2014,FY2014,IND,Cars,EV,451.0,2442265.0,96.94323144104804,0.01846646453189969
2015,FY2015,IND,Cars,EV,634.0,2567999.0,40.57649667405765,0.024688483134144523
2016,FY2016,IND,Cars,EV,782.0,2698413.0,23.34384858044165,0.028979996761059185
2017,FY2017,IND,Cars,EV,769.0,2904723.0,-1.662404092071612,0.026474125071478415
2018,FY2018,IND,Cars,EV,1213.0,3153378.0,57.737321196358906,0.03846668556703319
2019,FY2019,IND,Cars,EV,1841.0,3163364.0,51.772464962901886,0.05819753907549052
2020,FY2020,IND,Cars,EV,3215.0,2955833.0,74.63335143943507,0.10876798520078773
2021,FY2021,IND,Cars,EV,5901.0,2570017.0,83.54587869362365,0.22960937612474938
2022,FY2022,IND,Cars,EV,21194.0,2927142.0,259.1594644975428,0.7240509684873504
2023,FY2023,IND,Cars,EV,54471.0,3615501.0,157.01141832594132,1.506596181276122
2024,FY2024,IND,Cars,EV,99719.0,3920160.0,83.06805456114263,2.543748214358598
2025,FY2025,IND,Cars,EV,115315.0,4270569.0,15.639948254595403,2.7002256607960207
