"GEO","TIME_PERIOD","MODE","FUEL_TYPE","OBS_VALUE","UNIT_MEASURE"
"IND","FY2011","2W","EV",4068,"Registrations"
"IND","FY2011","2W","Petrol",10467018,"Registrations"
"IND","FY2011","3W Passenger","EV",19,"Registrations"
"IND","FY2011","3W Passenger","Diesel",218672,"Registrations"
"IND","FY2011","3W Passenger","Petrol/CNG",39917,"Registrations"
"IND","FY2011","3W Goods","EV",7,"Registrations"
"IND","FY2011","3W Goods","Diesel",57535,"Registrations"
"IND","FY2011","3W Goods","CNG",6835,"Registrations"
"IND","FY2011","Cars","EV",411,"Registrations"
"IND","FY2011","Cars","Diesel",875334,"Registrations"
"IND","FY2011","Cars","Petrol",1185924,"Registrations"
"IND","FY2011","Bus","EV",2,"Registrations"
"IND","FY2011","Bus","Diesel",90256,"Registrations"
"IND","FY2011","LGV (up to 7/5 tonnes)","EV",24,"Registrations"
"IND","FY2011","LGV (up to 7/5 tonnes)","Diesel",299014,"Registrations"
"IND","FY2011","MGV (7.5-12 tonnes)","EV",0,"Registrations"
"IND","FY2011","MGV (7.5-12 tonnes)","Diesel",48147,"Registrations"
"IND","FY2011","HGV (>12 tonnes)","EV",7,"Registrations"
"IND","FY2011","HGV (>12 tonnes)","Diesel",233267,"Registrations"
"IND","FY2011","Others","EV",358,"Registrations"
"IND","FY2011","2W","Other",18635,"Registrations"
"IND","FY2011","3W Passenger","Other",105799,"Registrations"
"IND","FY2011","3W Goods","Other",1360,"Registrations"
"IND","FY2011","Cars","Other",269910,"Registrations"
"IND","FY2011","Bus","Other",19023,"Registrations"
"IND","FY2011","LGV (up to 7/5 tonnes)","Other",13013,"Registrations"
"IND","FY2011","MGV (7.5-12 tonnes)","Other",484,"Registrations"
"IND","FY2011","HGV (>12 tonnes)","Other",1437,"Registrations"
"IND","FY2011","Others","Other",529394,"Registrations"
"IND","FY2012","2W","EV",6662,"Registrations"
"IND","FY2012","2W","Petrol",12355175,"Registrations"
"IND","FY2012","3W Passenger","EV",28,"Registrations"
"IND","FY2012","3W Passenger","Diesel",199938,"Registrations"
"IND","FY2012","3W Passenger","Petrol/CNG",48040,"Registrations"
"IND","FY2012","3W Goods","EV",10,"Registrations"
"IND","FY2012","3W Goods","Diesel",69966,"Registrations"
"IND","FY2012","3W Goods","CNG",6280,"Registrations"
"IND","FY2012","Cars","EV",698,"Registrations"
"IND","FY2012","Cars","Diesel",1170069,"Registrations"
"IND","FY2012","Cars","Petrol",1097594,"Registrations"
"IND","FY2012","Bus","EV",4,"Registrations"
"IND","FY2012","Bus","Diesel",98022,"Registrations"
"IND","FY2012","LGV (up to 7/5 tonnes)","EV",24,"Registrations"
"IND","FY2012","LGV (up to 7/5 tonnes)","Diesel",381889,"Registrations"
"IND","FY2012","MGV (7.5-12 tonnes)","EV",1,"Registrations"
"IND","FY2012","MGV (7.5-12 tonnes)","Diesel",43776,"Registrations"
"IND","FY2012","HGV (>12 tonnes)","EV",10,"Registrations"
"IND","FY2012","HGV (>12 tonnes)","Diesel",252254,"Registrations"
"IND","FY2012","Others","EV",223,"Registrations"
"IND","FY2012","2W","Other",16757,"Registrations"
"IND","FY2012","3W Passenger","Other",119660,"Registrations"
"IND","FY2012","3W Goods","Other",1688,"Registrations"
"IND","FY2012","Cars","Other",275580,"Registrations"
"IND","FY2012","Bus","Other",16280,"Registrations"
"IND","FY2012","LGV (up to 7/5 tonnes)","Other",-24,"Registrations"
"IND","FY2012","MGV (7.5-12 tonnes)","Other",502,"Registrations"
"IND","FY2012","HGV (>12 tonnes)","Other",2320,"Registrations"
"IND","FY2012","Others","Other",621137,"Registrations"
"IND","FY2013","2W","EV",3477,"Registrations"
"IND","FY2013","2W","Petrol",12967756,"Registrations"
"IND","FY2013","3W Passenger","EV",17,"Registrations"
"IND","FY2013","3W Passenger","Diesel",266284,"Registrations"
"IND","FY2013","3W Passenger","Petrol/CNG",71010,"Registrations"
"IND","FY2013","3W Goods","EV",14,"Registrations"
"IND","FY2013","3W Goods","Diesel",67844,"Registrations"
"IND","FY2013","3W Goods","CNG",4034,"Registrations"
"IND","FY2013","Cars","EV",229,"Registrations"
"IND","FY2013","Cars","Diesel",1446377,"Registrations"
"IND","FY2013","Cars","Petrol",923852,"Registrations"
"IND","FY2013","Bus","EV",1,"Registrations"
"IND","FY2013","Bus","Diesel",107921,"Registrations"
"IND","FY2013","LGV (up to 7/5 tonnes)","EV",28,"Registrations"
"IND","FY2013","LGV (up to 7/5 tonnes)","Diesel",429138,"Registrations"
"IND","FY2013","MGV (7.5-12 tonnes)","EV",1,"Registrations"
"IND","FY2013","MGV (7.5-12 tonnes)","Diesel",34990,"Registrations"
"IND","FY2013","HGV (>12 tonnes)","EV",11,"Registrations"
"IND","FY2013","HGV (>12 tonnes)","Diesel",200494,"Registrations"
"IND","FY2013","Others","EV",263,"Registrations"
"IND","FY2013","2W","Other",18028,"Registrations"
"IND","FY2013","3W Passenger","Other",71131,"Registrations"
"IND","FY2013","3W Goods","Other",1110,"Registrations"
"IND","FY2013","Cars","Other",216370,"Registrations"
"IND","FY2013","Bus","Other",14421,"Registrations"
"IND","FY2013","LGV (up to 7/5 tonnes)","Other",12285,"Registrations"
"IND","FY2013","MGV (7.5-12 tonnes)","Other",314,"Registrations"
"IND","FY2013","HGV (>12 tonnes)","Other",5039,"Registrations"
"IND","FY2013","Others","Other",651934,"Registrations"
"IND","FY2014","2W","EV",1895,"Registrations"
"IND","FY2014","2W","Petrol",13667561,"Registrations"
"IND","FY2014","3W Passenger","EV",23,"Registrations"
"IND","FY2014","3W Passenger","Diesel",232101,"Registrations"
"IND","FY2014","3W Passenger","Petrol/CNG",59129,"Registrations"
"IND","FY2014","3W Goods","EV",4,"Registrations"
"IND","FY2014","3W Goods","Diesel",68843,"Registrations"
"IND","FY2014","3W Goods","CNG",2321,"Registrations"
"IND","FY2014","Cars","EV",451,"Registrations"
"IND","FY2014","Cars","Diesel",1317928,"Registrations"
"IND","FY2014","Cars","Petrol",946996,"Registrations"
"IND","FY2014","Bus","EV",2,"Registrations"
"IND","FY2014","Bus","Diesel",101094,"Registrations"
"IND","FY2014","LGV (up to 7/5 tonnes)","EV",37,"Registrations"
